userName,rawContent,status,kelas
Arlin Istidana,"Saya mencoba login beberapa kali ttp tidak bisa , saya jg sudah mencoba masuk lewat google, email, dan FB ttp ditolak server",1,Negatif
Nor Fatilah,Tidak bisa memasukkan nomer vertivikasi,2,Negatif
Marvil Dwi Saputra,Cukup membantu Terima kasih,5,Positif
habel fany,Saya pernah diancam dan saya coba pakai gatcontact dan ternyata nomor ithu namanya monyet.,5,Positif
Triana Nila,Masa mau ganti nomor gabisa sih,1,Negatif
Bambang Harianto,Mantap dan tepat sasaran plus membantu,5,Positif
Firman Rivay,Mantap sangat bermanfaat sekali.... lanjut kan trus,5,Positif
Romy Saputra,"Iklan banyak, pencarian nomor pun terbatas",1,Negatif
Irma Munawwaroh,Tidak bisa melihat lokasi pemilik contact,4,Positif
Ilham Keong,KEMBALIKAN GET CONTACT YANG DULU!!! Sekarang apa apa premium!! Harus bayar dulu melihat tag nomor orang lain.. Hidup lagi susah ekonomi susah jangan di tambah susah dong cina !,1,Negatif
Twins Channel,Gak jelas udh saya unistall berbulan bulan tiba-tiba tagihan ke shoppe pay saya dan ilang 35rb saldo saya. Tolong hentikan iini,1,Negatif
zubhank 41,Bagus tapi iklannya di kurangi bos ku,5,Positif
Muh. Ramadhan Zakaria Madan,Mantap bisa mengetahui nomor yg tdk jelas,5,Positif
Herman Susilo,Sangat membantu sekali,4,Positif
Dadan Wardana,Dulu suka banget apk ini. Sekarang jarang di pake karena berbayar,2,Negatif
Manalu Nilawaty,apk sangat bagus,5,Positif
Helmi Dulfiranda,"Tidak profesional karena aplikasi telah diamankan oleh Lintas Akun Google, Tidak Rekomendasi Bermanfaat bagus.",1,Negatif
Sumiarsih,"Kenapa ya Getcontact di Amankan Oleh Lintas Akun Google, Tolong Tunjukkan Profesional. Terimakasih",1,Negatif
Arwan Siraid,"Cara bayarnya ribet, hanya da dua pilihan Paypal dan kartu krdit. Mohon untuk ditambahkan lgi pilihan cara bayarnya misal via Indomaret dll.",1,Negatif
Zulfikar,"Saya sudah bayar langganan perbulan, tapi untuk melihat tag nomor hp orang lain, harus berbayar lagi, apalagi harus pakai CC. Sulit sekali bosss",1,Negatif
katman binhw,Sangat membantu cek no yang belom d save,5,Positif
Jeonnita limm,aplikasi ini sangat membantu sekali,5,Positif
Mimin bin Admin,"Gabisa verifikasi, apaan ini !!!",1,Negatif
Imonk Irawan,Enak layanan nya,5,Positif
Vivo Y12,Ini gk bisa sih ngecek ny gak jelas,1,Negatif
Hasan Sanusi,Aplikasi mengecewakan masa skrang malah bayar udah itu saldo dana gue di ambil lagi 30 rbu. Tanpa sepengetahuan jelek aplikasi ga guna,5,Positif
ghalang fanggi,"Apk gak guna, kirain bisa liat nama save di konta org trus tau siapa yg ngesave,kecewa sih,udah gitu pake bayar juga sama aja,gak guna si apknya",1,Negatif
M Rifki Zailufti,"Orang yang membuat get contact ini punya hati atau gak sih? Orang lain bisa komen kekita tapi kita tidak bisa menghapus atau gak kita bisa melihat no yang komen, bodoh orang yang buat get contact ini",1,Negatif
ARADHAN QARIBA,Yg buat aplikasi nya gblok gk punya otak apa gk sekolah kah,1,Negatif
Venni Putri Aprilia,"Dari apk ini gw bisa liat orang2 yang mau nipu2 lewat no telepon hahaha, thx Getcontact",5,Positif
Fitri Norjanna,Kok malah tambah lemot abis di upgrate,1,Negatif
Dian Puspita Megasari,Tidak bisa login,2,Negatif
Kanaya Natasya,"maaf saya kasi bintang dua karna ini bikin sya darh tinggi dipakai log in gabisa terus rasanya sya ingin ledakin bumi,, tlong di perbaiki lagi ya..🙏",2,Negatif
Wahyu Dewi,Sangat membantu sekali buat mengetahui yg telfon spam,5,Positif
Sugeng Rahardjo,Aplikasi yang sangat mantap,5,Positif
Muji Muji,Bagus aplikasi nya... membantu banget,5,Positif
Gita Christine,sebenarnya banyak yang nge save no sya tpi di getcontact dibuat hanya 3 tolong diperbaiki lagi ya sya hapus dan download lagi juga tetap saja hanya 3,1,Negatif
Pedri Sugianto,Pembayaran susah harus diperbaiki!!!,2,Negatif
M. Azzam Ar-Rantisi,Sangat cocok bagi Anda yang ingin dicapai oleh semua orang yang halus dan lembut aku mau tanya tentang besok kalian semua baik atau tidak bisa ikut kak aku sedang tidak bisa kak aku mau sholat ashar di masjid di toko kami di toko kami di YouTube mix by di toko emas ini untuk kls7 di YouTube mix free dan share on Twitter kemarin aku sedang tidak ada skin re yit e ini hadir bagi Anda para jiwa saya sudah tidak boleh ngomong sama keluarga yang ikut saya masukan kak eh besok pagi lagi sama keluarga,4,Positif
Monica,"No telepon spam penipu tidak terdeteksi di tampilan awal sehingga saya angkat. Saat curiga panggilan ditutup, dan ketika buka aplikasinya baru terlihat bahwa no telp berupa spam penipu. Maaf, performanya aplikasi tolong diperbaiki lagi.",2,Negatif
Cahaya Cahaya,Bagus cuma yg muncul nama nya sedikir,4,Positif
Yulfia Istikharah,Sangat membantu untuk tahu no wa penipu,5,Positif
Chaidir,"Jangan download aplikasi ini, aplikasi ini hanya trial dan berbayar jika ingin download aplikasi ini hendaknya berpikir lebih dahulu...",1,Negatif
Santri Pranika,Saya gak bisa berhenti berlangganan aplikasi ini,1,Negatif
Cucu Qoseam,Untuk saat free ini bagus dech👍👍👍,5,Positif
NURSIA,Kontak di hp ku tdk terbaca semua saat pengecekan nama kontak Mengecewakan karena harus berlangganan,1,Negatif
THE FIGHTER TEAM Jhon Property & Sport,Terimakasih sangat membantu,5,Positif
Reffi Yustio,sangat membantu untuk tau ada telf dari penipu,5,Positif
Deana Syaputra,Aplikasi lumayan baguss,5,Positif
indah daulay,Bagus. Sangat membantu,5,Positif
Asran Afriadi,Saya suka dan terbantu dgn Getcontact.,5,Positif
Joko Purnomo,Aplikasi ini bagus ...untuk mendeteksi kebohongan,5,Positif
My Bee,Percuma berlangganan kita jg gak bisa tau nama kontak yg cari tau nomer kita. 👎,1,Negatif
Pudji Siswo,Memuaskan...semakin di update terus,5,Positif
Rido Sukasuka,Jelek kali apliynya ga bisa masuk,1,Negatif
Ahmat Alqurni,Aplikasinya si bagus tapi sayang gk bisa lihat kontak orangnya yang namain kontak kita,1,Negatif
Ruffi Semi,"Apk rusak, masa nama di kontak saya maupun di kontak temen saya masih nama-nama yang dulu. Tidak update nih apk. Rusak rusak",1,Negatif
sezenngrree yesser,Saya kemarin baru download setelah saya download apk ini saya kecewa saya gak bisa masuk ke dalam apk nya dan saya cuman bisa di loding nya,1,Negatif
Ramadhani Madan,"tolong yg jelas donk,masa cek no sendiri kontaknya sedikit/ga lengkap",1,Negatif
Riyanti Rafasya,Sangat lumayan bagus,1,Negatif
Muhammad Khoirudin Habibi,"percuma install, login udah beberapa kali gabisa gagal dimuat, udah hapus data & install berkali-kali tete aja gabisa",1,Negatif
Shofiyan shoarianto,aplikasi makin ribet untuk login kaga jelas,1,Negatif
Wahyudi Wyd,"Baru 1 Minggu pake langsung minta biaya tarif, padahal iklan di aplikasi ini lancar,sangat buruk dengan tarik yg mahal",1,Negatif
Raffa Reznov,"1/5 aplikasi tersampah yang pernah gw unduh. verifikasi lewat google ama facebook nya nggak bisa dipake,nge-loop mulu. verifikasi lewat email nya juga nggak bisa dipake loading mulu aplikasinya. terus caranya gw log in gimana coba? kalo udah di fix ntar rating nya gue naikin.",1,Negatif
Suherman 23,Aplikasi baik dan bagus,5,Positif
Kurniawan Mrsd,Aplikasi jadi gak seperti dlu update-nya tambah parah. Jdi banyak iklan trusss. Maaf apknya gak sesuai ekspektasi huffttt mengecewakan,1,Negatif
Chairul Azka,"Setelah di Update Malah lebih kacau ,, tidak bisa masuk / Login . Terpaksa di Delete Aplikasi nya",1,Negatif
Hery Rahmat Hidayat,"Bagus....tapi tolong tampilkan panggilan masuk dan keluar ,serta nama kontak aslinya",5,Positif
Zaki ibrahim,Getcontact tolong kalo yang SV kita itu jangan nama yah aja sama nomor yang SV yah 🙏,5,Positif
Andrie Memink,Tidak bisa Login,1,Negatif
Roni Adinolfi,Sangat membantu konsumen.,5,Positif
Fake out,susah login nya tambah payah aplikasi nyaa,1,Negatif
Ghisni Muzakki,kembalikan fitur liat tag gratis,1,Negatif
Oktafiano Gerdanefa,"pas saya mau masuk ke virifikasi kenapa tidak bisa dan ada tulisan ""coba ulang""dan itu pun berkali-kali saya coba tetap tidak bisa padahal saya sudah memakai akun google dan akun facebook sudah bener tolong jelaskan masalah saya",1,Negatif
Rizka Wahyuni,Apaan ini apk kagak bisa di pake verifikasi kagak bisa nyesel deh sumpah apk kagak bisa di pake gini tingkatin lagi tuh,1,Negatif
Farhan Hidayat,"Terlalu elite untuk kaum yg gajinya jauh dibawah umr,ya sebagai anak kost mana mampu🙃",1,Negatif
Akun Free Fire,"Mau login malah keluar sendiri, gak jelas nih aplikasi!!!!",1,Negatif
Abah,Sangat bermanfaat sekali,5,Positif
Zakiyyah Hartati,bisa melihat nama kita di kontak orang lain,5,Positif
aswa channel,"Kenapa harus berlanganan , kenapa tidak lasung nyabung otomatis pakek data internet lasung",1,Negatif
Dede Nurhidin,Aplikasinya sangat memuaskan aku kasih nilai 100,5,Positif
Abdurrouf Katanya,Sangat membantu hebat sukses slalu,5,Positif
ahmad buyung,Sangat sulit untuk login getcontact di web,1,Negatif
Asteroid “Asteroid”,Tidak bisa daftar...gagal terus.. Untuk team getcontact... Kalau memang sudah GA bisa dipake atau sudah TIDAK terima pelanggan baru...kasih tau atau JANGAN dipajang di PLAY STORE !!!,1,Negatif
Nur rahma,Mantap sangat membantu,5,Positif
MULYADI KEMBAR,Udah lama ga pake. Eh pas ada saldo dana saldonya kepotong. Sama ini aplikasi emng kntl,1,Negatif
Claudia Purnama Sari Saragih,Bagus cuma kekurangan nya karena bayar 😕,2,Negatif
Tiarra Yuliani,"Tolong fitur berbayar hanya untuk lihat siapa yg cek get contact saja jgn yg bisa hapus tag dan sembunyikan tag, sekarang banyak penipu pakai premium get contact dan menipu sana sini. Padahal tujuan apk ini sudah bagus jadi bisa cek mana yg penipu dan tidak, sekarang jadi ga bisa karna premium bisa menutupi penipu, tolong dihapus fitur itu",1,Negatif
Diah Aprilua,"Dulu kayanya belum ada iklan berlangganannya , tapi sekarang kenapa iklan berlangganannya sering banget muncul , ihh kecewa , tolong balikkin kaya dulu tanpa berlangganan",1,Negatif
Elsa Siregar,"jelek jelek, gabisa login",1,Negatif
Ali Hamdi,"Aplikasi bagus, bisa ngecek nomor2 baru yg belum tersimpan di kontak",5,Positif
DIARYnya RADJA,"Mamtap,tak usah pake bayar dong bos",5,Positif
Ilham Abdulkholik,"Lebih suka getcontact yang dulu sekarang harus bayar padahal aplikasi nya bagus bangt ,tapi kok harus pake berlangganan kenapa kok gak pake iklan aja",1,Negatif
Ade Haris,Ok banget ni aplikasi sangat membantu sekali,5,Positif
Imam Aditia,"Lah aplikasi apaan si,baru mau masuk malah ga bisa..sayang paket data.",1,Negatif
Donny Wahyu,"Hancur, aplikasi tdk berfaedah",1,Negatif
Salsa Ibrahim,Baik saya suka dengan getcontak,2,Negatif
Agus Praptiono,"Aplikasi yg bagus. Hargai karya org lain dengan cara berlangganan aplikasinya. Pengen fitur canggih tapi gratis, situ waras",4,Positif
Yudhis Tira,Payment method untuk tariff tidak bisa diakses 95% orang yang instal aplikasi ini,1,Negatif
anya wandikbo,Aplikasi ini sangat baik untuk kami,5,Positif
Yenny Sandra,Bermanfaat banget apalagi buat nomer² yg tdk di kenal dan nomor² para penipu bisa langsung kediteksi,5,Positif
Eman Suherman,Sangat membantu sekali,5,Positif
Nurfadillah Syuaib,"Harus berlangganan baru bisa digunakan, mengecewakan",1,Negatif
wahyu_ setyo_nugroho,"Bagus menghindari penipuan, spam ga jelas dan telemarketing dan emang lebih baik premium lebih berasa ter protectnya. Good job get contact.",5,Positif
erik 7,"Sy sudh up ke premium, tpi pas mw ngecek siapa aja yg liat tag sy kok masih blm bisa ya.. ?",1,Negatif
Hari Mbendhol,Sayang nya ada beberapa yang tidak bisa di detect....,5,Positif
Novita Zahra,Kenapa saya gak bisa login ya?,2,Negatif
fauzi akbar,Ini privasi tidaka aman. Melanggar UU IT.. saya siap menuntut aplikaso Getcontact dan melaporkan aplikasi ini kepihak berwajib.,1,Negatif
Ananda Salsabila,Aplikasi nya sangat baguuuus👍👍👍👍,5,Positif
Muhammad Rabbani,Sangat membantu sekali.,5,Positif
faudzy gaming store,"tidak bisa login sama sekali, aplikasi sampah",1,Negatif
Agus Rohmandoni,"Semoga bisa mengurangi,perselingkuahan kdpannya,kita laki laki atau perempuan meninggalkan pasangan kita,,bisa tenang tanpa was was,saat bekerja,keromantisan keluarga tetap terjaga,keluarga yg sakinah mawaddah jg trjaga,amin",5,Positif
rony,Kais dua dulu ya mau coba dulu apakah sesuai dengan komentar ulasan lainnya kalau tidak sesuai akan saya tambahin lagi bintang nya jika faktanya sesuai langsung saya uninstall aja,2,Negatif
Sri Dewi Apriliyani,bagus skali saya suka,5,Positif
Mahesta Group,Aplikasi yg sangat membantu,5,Positif
Arya Afandi,Knp saya mau login tidak bisa login fb google pun tidak bisa tolong jelaskan biar saya bisa menggunakan nya,1,Negatif
Reza Saputra,Bagus dan bermanfaat,5,Positif
Malla Na,"Gimana cara mengganti nomer telpon ya? Sy mau ganti premium tp dg nomer lama bukan nomer baru,gimana cara nyaaa toloooong...",5,Positif
Adelia Putri Nasmi,"Kok aplikasi nya nggak bsa verifikasi sihh... Udah coba beberapa kali,tapi nggak bisa.. di perbaiki lagi yaah aplikasi nya...",1,Negatif
Abi Zhafar,Dioptimalkan lagi,5,Positif
Esti Rahayu,Masih aman jdi tau siapa yg telp tanpa kita simpen nmr nya mantap👍👍👍,5,Positif
Aulia Mahardini,Aplikasi appan sih gak jelas banget,1,Negatif
agus priyanto,"Terimakasih, sangat berguna sekali",5,Positif
Risa Aryani Nurmalia,verifikasi nya kok salah yaaa pdhl udhh nyoba berkali kali tpi gagal trss,1,Negatif
RAPHiEr45,Tolong tambahin fitur blokir penelpon yg tidak dikenal,5,Positif
Andri Yanto,Sangat berguna dan membantu... Yang free nya aja sudah sangat memuaskan.. apalagi jika bisa ikut yang berbayar.. perfect..,5,Positif
Hasan Sodikin,Terimakasih aplikasi nya sangat penting & membantu Banget,5,Positif
Inneke_Watuseke,"Keren tapi kenapa harus Bayar ya?? Kalau ga bayar , ga bisa di lihat .. hehehe",4,Positif
Khoiron Hamyah,kenapa tidak bisa isi paket paket telkomsel..,1,Negatif
Angelica Cecilia Purba,Macet banget aplikasi nya,1,Negatif
Fachry X Alok,"Verifikasinya lama banget ajg,Masa udh 10x lebih ga masuk kodenya.Gimana mau di pake nih aplikasi nya",1,Negatif
Irma Susanti,memudahkan mencari tahu nomor yang dimaksud adalah nomor penipu,5,Positif
Fiqri Haekal,"Aplikasi anehhh udhh bnr2 gratis.... Ekh, skrg malah disuruh bayar TOLONG DIPERBAIKI LG DONG APLIKASINYA",1,Negatif
NUREDI NUGRAHNA,"Perbanyak lagi fitur nya, selebih nya good.",5,Positif
nichi nuvy,Tidak bisa dibuka,4,Positif
Anni Liong,Bagus bisa kasih info yg tlp,4,Positif
Sefany Dhea,"Kok, aplikasi getcontact skrng aneh bgt yaa, pas mau login ga masuk"", ga kaya sebelumnya yg sangat mudah saat login",2,Negatif
Suhendri Hendri,Mantap dan akurat,5,Positif
Wulan anggraini,"Tampilan penandanya semakin di perbanyak,jgn hny 100",4,Positif
Dendy S,Sangat bagus dan membantu,4,Positif
wong cilik,Lebih membantu utk tdk meladeni org yg gak jelas,5,Positif
Dini Soelastiyo,Semoga yg dideskripsikan no telp yg dituju benar bila penipu atau bukan,5,Positif
Theopilus Michael,Dapat membantu mengidentifikasi nomor,5,Positif
Clara Simanjuntak,Yang awal nya suka dengan aplikasi ini Makin kesini nya makin mengecewakan Buat lah dulu bayar tapi harus pakai kartu kredit Gimana dengan yang tidak ada kartu kredit nya,1,Negatif
ERHA Entertainment,Sangat membantu sekali,5,Positif
Mya Sidney,Membantu sekali melihat spam2,5,Positif
RAHMAT THAMRIN,Kekurangan nya banyak orang yg kita mau cari tau no wa di simpan orang lain atas nama siapa malh harus ijin dulu degn pengguna jdi percuma saja apk ini orang yang bisa kita liat cuma orang yang tidak menggunakan getcontac,1,Negatif
Dwi Arianti,"Cukup membantu,trimakasih",5,Positif
winda farida gunawan,gak bisa verifikasiiii,2,Negatif
yustina higra,Kurang lengkap siapa yang menyimpan. Hanya namanya saja yg tertera,2,Negatif
Tikah Haryanti,Keren banget nih aplikasi,5,Positif
Syarifuddin Gowa,"Contak tdk aktif , ada brg ketinggalan mau info",1,Negatif
Cherryl Christyani,Semoga tetap baik2 saja dan dpt membantu,5,Positif
muh ismail,Sangat membantu menemukan identitas penelpon,5,Positif
Ishak Patty,Sangat membantu dalam meminimalisir panggilan tidak di kenal,5,Positif
Luh gede Putri aprilia,Bagus banget tk bisa berkata banyak,5,Positif
medi Algistiana,"Saran saya, untuk update yang akan datang tambahin fitur contohnya tanggal yang menggunakan nama kontak kita, kontak orang gtu",1,Negatif
Dede Rifki Sabana,LOL gabisa login apaan verifikasi terus gabisa bisa,1,Negatif
Sahid kelana Card mojokerto,Aplikasi sangat bagus,5,Positif
rudi la,Akan kucoba dulu jika bagus akan ku pakai,5,Positif
Oggy Oggyjack,"Getcontact sekarang Kurang bagus ribet di bagian 'kode verifikasi, udah di coba beberapa kalii tetep gabisa bete berat. Mohon di perbaiki lgi yaa",1,Negatif
ZAKI RAMADHAN,Kendala nya hanya di kode Verifikasi,2,Negatif
Dhesty Susanti,Katanya gratis tp koq berbayar ya 😢,1,Negatif
Che Naz,Cukup bagus dan beguna bagi saya,5,Positif
Boby ST,"Aplikasi ini mantap. Seperti pedang bermata dia, disatu sisi membantu, di sisi lain privacy jadi terganggu. Jadi harus bijak menggunakan nya.",5,Positif
neny verawati,Makin lama makin sampah gk bisa login,1,Negatif
RIFKY OFFICIAL,"Bagus aplikasinya, cuman kitabgak tau yang nulis nama kita itu siapa?",5,Positif
vina dwi lestari,Mantap bisa ngecek nomor yg tak tersimpan,4,Positif
Khansa Arifa,Aplikasi Getcontact sangat berguna untuk mengetahui nama kontak kita di beri nama apa,5,Positif
Diana Billa,"Ga bisa dipakai, harus mengulang verivikasi berkali kali",1,Negatif
Muh Rizqi Ramadhan,Mantap sangat membantu untuk mengetahui no yang tak di kenal,5,Positif
Dhewi Lucky,Sangat sangat membantu untuk lebih bisa berhati 2 agar tidak tertipu...(modus penipuan dalam berbagai bentuk) terimakasih getcontact... Sangat suka,5,Positif
Hotel Cahaya,"Mau beli premium pas masukin sandi Katanya lupa sandi, pas saya masukin di gmail bener sandi nya. Pas saya klik lupa sandi di aplikasi ny malah minta password, bukan ny sandi salah terus pas mau ambil premium. Aneh, kek mau hack gmail gitu",1,Negatif
Petljun belsia Eoh,Dapat digunakan untuk mengetahui nama iconik nomer seseorang,5,Positif
Kuntarto 751,Apk kurang bisa membantu publik karena harus berbayar,1,Negatif
zai tozi zai tozi,Cukup bagus sih aplikasi ini debes bgt👍,4,Positif
Blossom Shine,Bisa tahu panggilan spam,4,Positif
Mohamad Zein,Mantap terus di perbaharui,4,Positif
iGun Gunadi,"Metode verifikasi lainya susah, Suruh masukin nomor yg menghubungi tapi jumlah angka yg dimasukan ga sesuai, yg call 12 angka, cuma bisa masukin 10 angka, alhasil gagal terus",1,Negatif
amy arindita,Updatenya lambat ngga ky dulu,1,Negatif
mhul fhan,"Mantap, luar biasa",4,Positif
dr.harrysmarshal@gmail.com Harrys,Jatah untuk nge check no telfon terbatas..,4,Positif
Iqbal Fajar,"Makin sulit di digunakan mau ngeliat aja tarifnya susah banget dibelinya pake cc/paypal semua orang gak punya ini, carilah alternatif lain untuk pembayaran supaya bisa digunakan di indonesia.",1,Negatif
Irfan Kurniawan,Mudah dalam mengaplikasikan,5,Positif
Bukopin Cikarang,Maaf ya tapi apk ini tuh sering ngebug. Contohnya kayak sering kembali sendiri ke beranda. Mohon untuk diperbaiki lg ya,1,Negatif
OBF Canary,Sangat membantu sekali luar biasa puas pertahankan ya.. yfk perlu di upgrade jika sdh cukup membantu drpd di Upgrade akhirnya Troubel,5,Positif
Arif Rakhmat,"Sangat untuk mengidentifikasi nomor tak dikenal, termasuk nomor-nomor yang diduga penipuan",5,Positif
A2xp M_,Verifikasi gagal terus sistem jelek,1,Negatif
Seppy Ibo,Aku sangat berharap agar kwalitas aplikasi ini baik,5,Positif
mugi lestari,Keren kita jadi tahu mana telp dari penipu apa bukan,5,Positif
Eko Sulfianto,Login kok susah bgt. Gimana ini,1,Negatif
Gusti Ayu Ketut Miwati,Ada yg tau gak stop langganan premium gmn caranya biar gk ke potong terus di tagihan kartu kredit? Trimks,5,Positif
Nia Erlianti,Sangat membantu mendeteksi nomor baru yang masuk ke HP kita,5,Positif
Arvian Chandra,Bagus sekali sngt membantu,4,Positif
Putri Ini,Tapi nga semuanya muncul yg nyimpen kontak kita cuma beberapa doang,4,Positif
Ryta Mendrofa,"Aplikasi nya bagus, Sangatlah membantu",5,Positif
Nirmala Beelquis,"Ribet masuknya, harus verifikasi yg pake nomor wa, udh dimasukin malah ngulang terus karena gagal. Apk gajelas",1,Negatif
Ali Misnan,Makin kesini iklan banyak dah gitu jadi berbayar pulah rugi banyak lah dah tu kasih 1 bintang kejora,1,Negatif
Khairul saleh Harahap,Kalau memungkinkan versi gratisnya,5,Positif
Mhmd Azizeir,Sangat berguna untuk mengetahui nomor tidak dikenal,4,Positif
fatur rahman,Membatu sekali dan mudah mengenali siapa yg menghubungi kita meski kita tidak tahu nomor,5,Positif
Juni Nyoman,Sangat membantu untuk mengecek kontak yg tidak diketahui atau kontak baru,4,Positif
Satriani Pramesti,Aplikasinya work banget,5,Positif
Tri Teguh Santoso,"Harus BAYAR, MAHAL pula, kenapa gak pake kuota aja sih bayarnya... mending hapus apk kalo harus bayar, hub kita cukup sampe disini, kita putus, by getcontact matre",1,Negatif
Agung P,Sangat membantu utk mencegah bentuk kejahatan penipuan,5,Positif
Miranti Putri,Keren sih kita jadi tau siapa aja yg kasih nama kita,5,Positif
Ahmad Taufik,Aplikasi yang sangat membantu,5,Positif
Anshari Firmansyah,Sangat membantu utk nmr yg gak dikenal,5,Positif
FARRAZ FAKHRUDIN,"Aduhh,,, ini ko makin lama makin menurun kualitasnya?? Padahal dulu ngga kaya gini",1,Negatif
dimas ragil,"Gk bisa masuk sama sekali suruh nunggu telpon tidak ada yang telpon, stelah melakukan saran dari anda masih tidak ada perubahan link yang anda berikan juga tidak berguna Terima kasih lebih baik hapus aplikasi",1,Negatif
Zizah Wilona,Tapi kok ad punya orng tidk ad penandany gimn dong,1,Negatif
Angel,Cukup membantu untuk memantau aktivitas dinomor telepon saya,4,Positif
Sulaiman Sule,Bagus bangeet buat melacak kotak.kalau bisa sekalian nomor hp yg ada dikotaknya,5,Positif
FATUR,apk ini awalnya bisa detect nomor penelpon gak dikenal. namun pada akhirnya ada limiternya. lalu kemudian diharuskan membayar paket berlangganan jika ingin tetap menggunakan.,1,Negatif
Kimi zia al_khalifa Kimi,"Pliss biar apasi nyiptain aplikasi kayak gini Gara"" Aplikasi ini saya jadi putus sama pacar saya gara"" Aplikasi ini",1,Negatif
Anggra,"Halo pihak get contact, saya sudah berhenti langganan premium bahkan di pengaturan langganan play store sudah tidak tercantum lagi (langganan dibatalkan) tapi kenapa masih tetap ditagih untuk lanjut langganan tiap bulan di sms?",2,Negatif
Toplek Elek,"Memuaskann,itu yng nggak bruntung hp klian kntangg",5,Positif
Muh Malik,Sangat membantu mengetahui siapa yang menghubungi dari nomor contak baru,4,Positif
Naily Nafisa Ros,Setelah di update tidak bisa di gunakan,1,Negatif
Irgi Ekayana,"Katanya premium gratis 7 Hari tapi pas udah di pake malah suruh bayar, spam"" lagi hadeh",1,Negatif
Keysha Wardani,bagus sih tapi selalu ada iklan. pas aku masuk ke aplikasi nya malah ngeleg deh.aku karna ngasih bintang 1 kerena suka ada iklan,1,Negatif
Rijal M,"Gmn si udah di download dibuat login gk bisa"" aneh",2,Negatif
Allodia Wardani,"Kenapa kok keluar sendiri , tolong di perbaik i yaa",1,Negatif
Erwin Hariyadi,"Tidak bisa dibuka, keluar sendiri",1,Negatif
Ahmad Sayuti,Bagus tpi kurang sempurna,4,Positif
Iva Va,"Getcontact itu aplikasi yang bagus,pokoknya seru deh",5,Positif
Jamal Luddin,Sangat aman bagus juga ga merepotkan,4,Positif
Syifa Azhara,"Sebenarnya bagus , tetapi saya hanya bisa melihat yg memanggil saya seperti apa cuman kalo mereka ada apk ini,jadi mohon di perbarui🙏🙏, biar sayadan yg lain juga bisa melihat semua yg menandai no saya pake apa , sekian terimakasih ☺️",4,Positif
Ruhyatulhilal Agustin,Buruk tidak bisa ganti nomor,1,Negatif
syawalun sahri,Aplikasi sering tidak/berhenti merespon,1,Negatif
rishad umar,"Susah di buka, selalu dikatakan tidak ada koneksi internet, padahal lancar jaya",2,Negatif
