rawContent,status,kelas
Aku suka banget dari sistem sudah bagus. Mobile legend moba terbaik,4,positif
game nya sangat bagus menarik dan bisa membuat kita berpikir strategi,4,positif
game ini adalah game favoritku dari dulu semoga game ini terus berkembang dan memperbanyak hero dan skinnya agar memiliki pengguna yang lebih banyak,4,positif
terima kasih mobile legends. Sejauh ini masih jadi game terbaik meski banyak saingan game sesama moba baru,4,positif
gamenya bagus. Mudah dimainkan banyak pilihan hero untuk dipakai dan banyak skin untuk dikoleksi,4,positif
"game nya bagus sekali grafiknya bagus banget untuk ukuran game ringan, permainan sangat asik. Sehat selalu moonton",4,positif
game mobile legends adalah game terbaik yang saya mainkan dari awal rilis sampe sekarang,4,positif
mlbb sangat keren bagus. Banyak skin gratis yang dapat diperoleh dari event tertentu. Heronya jg bnyak,4,positif
saya seneng banget main game ini selalu saya mainkan setiap saat dengan grafik yang semakin bagus,4,positif
game nya keren palagi sekarang sedang ada event yg sangat menarik,4,positif
setelah update keren. Jaringan stabil grafik mantap. Rekan satu tim juga udah seimbang luar biasa,4,positif
game bagus banget dan grafis juga keren. Yg gak download rugi banget tidak boros baterai. Saya kasih bintang 5 karena terbukti bagus dan nyaman saat dimainkan,4,positif
saya sangat senang untuk bermain game ini karena dapat mengisi waktu luang saya. Game nya keren deh pokoknya semangat terus moonton,4,positif
wah permainan ini sangatlah keren dan menyengankan. Saya sudah menang beberapa kali. Terima kasih sudah membuat game yg sangat keren ini,4,positif
"masih menjadi game seru sampai saat ini, apalagi sekarang event event gratis banyak banget makin buat pemain betah memainkannya",4,positif
selain melatih komunikasi. Manfaat mobile legend adalah mengajarkan lo pentingnya kerja sama tim. Dan ini sangat berguna pada kehidupan sehari hari,4,positif
gamenya bagus dan seru. Banyak hero yg bisa dimainkian. Grafik semakin bagus dari dulu,4,positif
sangat seru saya suka dengan game ini karena bisa bermain bersama teman. Dan juga game ini memiliki grafis yang bagus dan bisa diatur,4,positif
game ini seru banget bisa main bersam teman dan bisa dapat teman yang banyak dari gameini dan juga bisa menghasilkan bnyak uang dari game ini,4,positif
"game ini direkomendasikan untuk dimainkan, arena banyak dan heronya banyak dan keren bagus banget",5,positif
game play aman buat main enjoy grafik bagus,5,positif
"gamenya sangat bagus dan keren. Saya suka sekali game ini karena mengajarkan kita untuk terus berjuang dan pantang menyerah, game mudah dipahami secara cepat",5,positif
bagus. Saya suka desainnya saya suka model skin dan heronya. Penggunaannya juga gampang tidak ribe cara pemakaiannya.,5,positif
saya suka game ini. Terima kasih sudah membuat waktu luangku menjafi lebih baik dan menyenangkan,5,positif
Gem nya sangat bagus,5,positif
Karena bagus dan cantik banget karakter nya,5,positif
Game nya bagus banget dari segi gamplay grafik mekanik recomende sihðŸ‘ðŸ‘ðŸ‘,5,positif
gamenya jujur seru banget. Sampe ketagihan sih mainnya. Karena dari segi grafik bagus nyaman semagat terus pak moonton,5,positif
game yang sangat bagus untuk melatih kewarasan,5,positif
"permainannya bagus saya suka, bisa dimainnkan walaupun data mati",5,positif
permainanya sangat bagus eventnya juga menarik ditambah lagi grafiknya bagus banget kalian gak bakal nyesel downloadnya,5,positif
Game nya seruðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜Šâ¤â¤â¤ðŸ˜ŽðŸ˜ŽðŸ˜ðŸ¤©,5,positif
bagus sekali,5,positif
Bagus kok game ya,5,positif
game moba yang menurut saya paling keren dan kece. Even yang selalu update dan ganti setiap bulan jadi bikin pengguna tidak bosan,5,positif
Aku suka game ini,5,positif
grafiknya cantik dan jernih. Gamennya tidak terlalu menguras baterai dan bagus,5,positif
pengalaman saya yang paling menabjubkan setelah update grafik makin bagus jaringan pun bgus. Even sangat berkesan pada saya terima kasih,5,positif
ini game nya seru banget,5,positif
Wow game ini sangat seru yah,5,positif
gamenya sudah membuat banyak kenangan yang sangat menyenangkan bersama teman. Dari segi gafik keren hero banyak,5,positif
sangat menghibur dan sangat seru oertahankan kualitas game seperti ini sangat bergembira saat bermain game game dan skill para hero,5,positif
Keren.,5,positif
keseluruhan sangat bagus. Bisa untuk berpikit strategis dan tidak egois. Visualnya pun sangat bagus,5,positif
WAW GAMENYA SERU BANGET MAIN AMA TEMEN 5 HARI KALAH TERUS.GAME YANG SANGAT SERU AKU INGIN menang LAGI KARENA SANGAT SERU,5,positif
Seru banget dan ketagihan mabar mulu deh,5,positif
Game nya bagus sekali sangat bermanfaat untuk melatih kesabaran,5,positif
sangat ku suka,5,positif
